"Data","Ora","PrezzoZonale","Quantita","Prezzo"
2023-11-01,"1",64.97417,0.001,800
2023-11-01,"1",64.97417,7.5,700
2023-11-01,"1",64.97417,0.003,632
2023-11-01,"1",64.97417,62.75,499
2023-11-01,"1",64.97417,100,353.29
2023-11-01,"1",64.97417,5466,304
2023-11-01,"1",64.97417,40,289
2023-11-01,"1",64.97417,60,275
2023-11-01,"1",64.97417,37,274
2023-11-01,"1",64.97417,10,273
2023-11-01,"1",64.97417,83,272
2023-11-01,"1",64.97417,1.3,270
2023-11-01,"1",64.97417,734.414,265
2023-11-01,"1",64.97417,2010,264.84
2023-11-01,"1",64.97417,3912.27,263
2023-11-01,"1",64.97417,288,262.1
2023-11-01,"1",64.97417,444.3,262
2023-11-01,"1",64.97417,1997.2,260
2023-11-01,"1",64.97417,106.1,256.89
2023-11-01,"1",64.97417,35.785,254.9
2023-11-01,"1",64.97417,12,249.81
2023-11-01,"1",64.97417,409.245,240
2023-11-01,"1",64.97417,70,238.22
2023-11-01,"1",64.97417,2570,237
2023-11-01,"1",64.97417,715.3,235
2023-11-01,"1",64.97417,369.2,234.56
2023-11-01,"1",64.97417,734.6,230
2023-11-01,"1",64.97417,2,224.37
2023-11-01,"1",64.97417,29,223.97
2023-11-01,"1",64.97417,44.766,221.1
2023-11-01,"1",64.97417,96,219
2023-11-01,"1",64.97417,348.8,215
2023-11-01,"1",64.97417,584,200.1
2023-11-01,"1",64.97417,47.6,200
2023-11-01,"1",64.97417,37.9,190
2023-11-01,"1",64.97417,193.4,185
2023-11-01,"1",64.97417,16,180.49
2023-11-01,"1",64.97417,5,180
2023-11-01,"1",64.97417,35.682,176.5
2023-11-01,"1",64.97417,63,176.02
2023-11-01,"1",64.97417,72,175.2
2023-11-01,"1",64.97417,54,171.8
2023-11-01,"1",64.97417,53.916,171.3
2023-11-01,"1",64.97417,72.3,169.9
2023-11-01,"1",64.97417,45.72,169
2023-11-01,"1",64.97417,3,167
2023-11-01,"1",64.97417,66.2,165
2023-11-01,"1",64.97417,360,164
2023-11-01,"1",64.97417,76,163.03
2023-11-01,"1",64.97417,37.2,160
2023-11-01,"1",64.97417,48,155
2023-11-01,"1",64.97417,37,150
2023-11-01,"1",64.97417,87,149.99
2023-11-01,"1",64.97417,30.036,148.69
2023-11-01,"1",64.97417,370,146.52
2023-11-01,"1",64.97417,340,145.19
2023-11-01,"1",64.97417,370,143.74
2023-11-01,"1",64.97417,355,143.22
2023-11-01,"1",64.97417,368,140.5
2023-11-01,"1",64.97417,177,139.06
2023-11-01,"1",64.97417,370,137.9
2023-11-01,"1",64.97417,164,134.95
2023-11-01,"1",64.97417,214,132.65
2023-11-01,"1",64.97417,350,131.59
2023-11-01,"1",64.97417,201,131.23
2023-11-01,"1",64.97417,97.5,130.92
2023-11-01,"1",64.97417,370,130.78
2023-11-01,"1",64.97417,368,130.13
2023-11-01,"1",64.97417,5,130
2023-11-01,"1",64.97417,219,129.41
2023-11-01,"1",64.97417,101,129.06
2023-11-01,"1",64.97417,231,128.79
2023-11-01,"1",64.97417,400.8,127.52
2023-11-01,"1",64.97417,381.2,127.51
2023-11-01,"1",64.97417,30.3,126.75
2023-11-01,"1",64.97417,94.5,125.92
2023-11-01,"1",64.97417,24.304,123.08
