"Data" "Ora" "FlussoImport" "FlussoExport" "Zona"
"2" 2022-01-01 "1" 260 0 "BSP"
"3" 2022-01-01 "1" 295 0 "XAUS"
"4" 2022-01-01 "1" 1988 0 "XFRA"
"5" 2022-01-01 "1" 0 187.973 "XGRE"
"6" 2022-01-01 "2" 397 0 "BSP"
"7" 2022-01-01 "2" 256 0 "XAUS"
"8" 2022-01-01 "2" 1988 0 "XFRA"
"9" 2022-01-01 "2" 0 493.551 "XGRE"
"10" 2022-01-01 "3" 397 0 "BSP"
"11" 2022-01-01 "3" 225 0 "XAUS"
"12" 2022-01-01 "3" 1988 0 "XFRA"
"13" 2022-01-01 "3" 0 489.525 "XGRE"
"14" 2022-01-01 "4" 397 0 "BSP"
"15" 2022-01-01 "4" 213 0 "XAUS"
"16" 2022-01-01 "4" 1988 0 "XFRA"
"17" 2022-01-01 "4" 0 427.592 "XGRE"
"18" 2022-01-01 "5" 397 0 "BSP"
"19" 2022-01-01 "5" 209 0 "XAUS"
"20" 2022-01-01 "5" 1988 0 "XFRA"
"21" 2022-01-01 "5" 0 440.3 "XGRE"
"22" 2022-01-01 "6" 397 0 "BSP"
"23" 2022-01-01 "6" 217 0 "XAUS"
"24" 2022-01-01 "6" 1988 0 "XFRA"
"25" 2022-01-01 "6" 0 497.843 "XGRE"
"26" 2022-01-01 "7" 397 0 "BSP"
"27" 2022-01-01 "7" 263 0 "XAUS"
"28" 2022-01-01 "7" 1988 0 "XFRA"
"29" 2022-01-01 "7" 0 284.92 "XGRE"
"30" 2022-01-01 "8" 397 0 "BSP"
"31" 2022-01-01 "8" 295 0 "XAUS"
"32" 2022-01-01 "8" 1988 0 "XFRA"
"33" 2022-01-01 "8" 434.683 0 "XGRE"
"34" 2022-01-01 "9" 397 0 "BSP"
"35" 2022-01-01 "9" 295 0 "XAUS"
"36" 2022-01-01 "9" 1988 0 "XFRA"
"37" 2022-01-01 "9" 500 0 "XGRE"
"38" 2022-01-01 "10" 397 0 "BSP"
"39" 2022-01-01 "10" 286 0 "XAUS"
"40" 2022-01-01 "10" 1988 0 "XFRA"
"41" 2022-01-01 "10" 500 0 "XGRE"
"42" 2022-01-01 "11" 397 0 "BSP"
"43" 2022-01-01 "11" 236 0 "XAUS"
"44" 2022-01-01 "11" 1988 0 "XFRA"
"45" 2022-01-01 "11" 393.055 0 "XGRE"
"46" 2022-01-01 "12" 397 0 "BSP"
"47" 2022-01-01 "12" 194 0 "XAUS"
"48" 2022-01-01 "12" 1920 0 "XFRA"
"49" 2022-01-01 "12" 181.498 0 "XGRE"
"50" 2022-01-01 "13" 391 0 "BSP"
"51" 2022-01-01 "13" 186 0 "XAUS"
"52" 2022-01-01 "13" 1842 0 "XFRA"
"53" 2022-01-01 "13" 354.059 0 "XGRE"
"54" 2022-01-01 "14" 342 0 "BSP"
"55" 2022-01-01 "14" 163 0 "XAUS"
"56" 2022-01-01 "14" 1606 0 "XFRA"
"57" 2022-01-01 "14" 500 0 "XGRE"
"58" 2022-01-01 "15" 397 0 "BSP"
"59" 2022-01-01 "15" 221 0 "XAUS"
"60" 2022-01-01 "15" 1988 0 "XFRA"
"61" 2022-01-01 "15" 404.518 0 "XGRE"
"62" 2022-01-01 "16" 397 0 "BSP"
